OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,x,y
1,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,7085a596-1e1a-49c6-8469-d52591de216b,50,BICA,Bighorn Canyon National Recreation Area,9/6/2024 12:00:00 AM,MT,IM,767934,National Recreation Area,Lands,Bighorn Canyon,-12048636.2396,5637851.6521
2,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,55aee914-d70a-4850-82db-b16f77a1cd7b,338,HALE,Haleakala National Park,9/18/2024 12:00:00 AM,HI,PW,358382,National Park,Lands,Haleakala,-17380596.1664,2356074.7817
3,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,0eebbcef-d2db-40fa-be02-39ce8f051b09,272,HOCU,Hopewell Culture National Historical Park,9/18/2024 12:00:00 AM,OH,MW,1888931,National Historical Park,Lands,Hopewell Culture,-9254551.0019,4761689.1343
4,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,1b3159fe-ca37-46fe-a52c-fbb01c387643,258,INDU,Indiana Dunes National Park,9/12/2024 12:00:00 AM,IN,MW,446903,National Park,Lands,Indiana Dunes,-9688455.9807,5110123.6077
5,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,88ec79de-8983-4657-a58a-1d1b867ed88a,266,JEFF,Gateway Arch National Park,9/18/2024 12:00:00 AM,IL,MW,765817,National Park,Lands,Gateway Arch,-10038280.8322,4667878.1918
6,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,1cb13cf0-e2df-4362-86b2-41ab63307942,233,MALU,"Martin Luther King, Jr., National Historical Park",9/18/2024 12:00:00 AM,GA,SE,1704967,National Historical Park,Lands,Martin Luther King Jr.,-9392219.7822,3995939.9097
7,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,7d38461d-e92e-48ac-ab94-c987dde0107f,110,MANA,Manassas National Battlefield Park,9/11/2024 12:00:00 AM,VA,NC,1470042,National Battlefield Park,Lands,Manassas,-8629696.4927,4697586.7252
8,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,cd73c0e4-19a8-4d38-a381-42711f4c504b,344,MOJA,Mojave National Preserve,9/17/2024 12:00:00 AM,CA,PW,1888945,National Preserve,Lands,Mojave,-12861784.6486,4177095.9905
9,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,752b48e4-4f16-4c8c-bc20-8250b8deb3ef,314,PECO,Pecos National Historical Park,9/6/2024 12:00:00 AM,NM,IM,937161,National Historical Park,Lands,Pecos,-11763676.5828,4237253.0647
10,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,10/2/2024 9:10:01 AM,NPS_WASO_LANDS,6412690e-7210-4c5e-ae80-8a48bc120dee,122,PRWI,Prince William Forest Park,9/10/2024 12:00:00 AM,VA,NC,1472799,Other Designation,Lands,Prince William Forest,-8614017.0225,4662482.3495
